niche,region,top_keywords,top_tags,vocab,examples_json
cine_tv,MX,de montaje|los trailers|trailer|juegos de trailers|fotos de trailers mamalones|juegos de trailers camiones 3d|tipos de montaje para eventos|stoughton trailers|fotos de trailers reales|imágenes de trailers para fondo de pantalla|imágenes de trailers|imagenes de trailers chidos|trailers a escala kenworth|montaje o montage|tecnicas de montaje|trailers para dibujar|imagen de trailers|montaje significado|montaje tipo auditorio|tipos de montaje de mesas|dibujos de trailers|trailers kenworth|fotos de trailers|trailers camiones|series coreanas|imagenes de trailers|series recomendadas en prime video|videos de trailers|series recomendadas en hbo|peliculas o series recomendadas,,de montaje|los trailers|trailer|juegos de trailers|fotos de trailers mamalones|juegos de trailers camiones 3d|tipos de montaje para eventos|stoughton trailers|fotos de trailers reales|imágenes de trailers para fondo de pantalla|imágenes de trailers|imagenes de trailers chidos|trailers a escala kenworth|montaje o montage|tecnicas de montaje|trailers para dibujar|imagen de trailers|montaje significado|montaje tipo auditorio|tipos de montaje de mesas|dibujos de trailers|trailers kenworth|fotos de trailers|trailers camiones|series coreanas|imagenes de trailers|series recomendadas en prime video|videos de trailers|series recomendadas en hbo|peliculas o series recomendadas,[]
cine_tv,US,foto montaje|silksong spoiler free guide|trailers for sale|trailer|motogp spoiler free|travel trailers|montaje apartments|como hacer foto montaje|trailers near me|used trailers|montaje somerville|silksong spoiler free ending guide|spoiler free survivor rankings|used trailers for sale|trailers for sale near me|montaje assembly row|montaje in english|montaje meaning|enclosed trailers|trailers for rent|utility trailers,,foto montaje|silksong spoiler free guide|trailers for sale|trailer|motogp spoiler free|travel trailers|montaje apartments|como hacer foto montaje|trailers near me|used trailers|montaje somerville|silksong spoiler free ending guide|spoiler free survivor rankings|used trailers for sale|trailers for sale near me|montaje assembly row|montaje in english|montaje meaning|enclosed trailers|trailers for rent|utility trailers,[]
cocina,GL,,comida peruana|recetas|meal prep|receta|comida|peru|recetas saludables|comida saludable|receta peruana|recetas fáciles|cocina|recetas faciles|pollo|cocina peruana|food|batch cooking|receta fácil|recetas de cocina|aji causa|meal prep saludable|gaston acurio|gordichef|recipe|recetas con pollo|abelca|recipes|cooking|saludable|facil|peruvian food,comida peruana|recetas|meal prep|receta|comida|peru|recetas saludables|comida saludable|receta peruana|recetas fáciles|cocina|recetas faciles|pollo|cocina peruana|food|batch cooking|receta fácil|recetas de cocina|aji causa|meal prep saludable|gaston acurio|gordichef|recipe|recetas con pollo|abelca|recipes|cooking|saludable|facil|peruvian food,"[{'videoId': 'Idln4rw8UbE', 'title': 'POSTRE FÁCIL Y ECONÓMICO - MARQUESA DE CHOCOLATE | Vivir para Comer', 'views': 11163045}, {'videoId': 'CtQ5cSJYx50', 'title': 'Así hago mi meal prep, ahorro tiempo, dinero como sano🤑', 'views': 189141}, {'videoId': 'AruAsFB_hZA', 'title': 'MEALPREP ANTIINFLAMATORIO 💪🏻 sin harinas, alto en proteína 🍗🧡', 'views': 41964}, {'videoId': 'LAFwtWDPIpw', 'title': '15 COSAS que podes congelar siempre #short', 'views': 1158982}, {'videoId': '0F-2JC-U2Kw', 'title': 'ORGANIZACIÓN DE COMIDAS PARA LA SEMANA 💖 #comida #miami #hacks #mealprep', 'views': 976478}, {'videoId': 'IBQcpCX1Ydc', 'title': 'MEAL PREP de Muffins de Vegetales: Cocina una vez para toda la semana #shorts #mealprep #muffins', 'views': 788239}, {'videoId': '_XArZyhuPJg', 'title': '#51 Papa Rellena (al estilo peruano) #shorts', 'views': 4804378}, {'videoId': 'gaOYWKZ9bbw', 'title': 'Masitas secas - RECETA FÁCIL Y RÁPIDA', 'views': 1478181}, {'videoId': 'UfozeOuxVsY', 'title': 'Rocoto relleno  #receta #buenazo #peru #comida #comidaperuana #recetas #cocina #arequipa', 'views': 763336}, {'videoId': 'MeQLBkoej1k', 'title': 'CAUSA RELLENA. 👀ves! Así de sencillo! #queriquitoesta #causarellena #causa #cooking #food #receta', 'views': 748153}]"
comida_cocina,ES,cocina facil y saludable|delonghi|proteina c reactiva|recetas airfryer|recetas batch cooking|recetas faciles|recetas rapidas para comer|proteina c reactiva alta|patatas airfryer|pollo airfryer|receta airfryer|batch cooking semanal|cafetera espresso manual|hacer postres faciles|cosori|cosori airfryer|air fryer|recetas rapidas y sanas|recetas de postres faciles|lidl cafetera espresso|postres faciles de hacer|recetas rapidas airfryer|freidora de aire|salmon airfryer|cafetera espresso krups|recetas rapidas para cenar|cafetera espresso con molinillo|postres faciles sin horno|prep my meal|asar castañas en airfryer,,cocina facil y saludable|delonghi|proteina c reactiva|recetas airfryer|recetas batch cooking|recetas faciles|recetas rapidas para comer|proteina c reactiva alta|patatas airfryer|pollo airfryer|receta airfryer|batch cooking semanal|cafetera espresso manual|hacer postres faciles|cosori|cosori airfryer|air fryer|recetas rapidas y sanas|recetas de postres faciles|lidl cafetera espresso|postres faciles de hacer|recetas rapidas airfryer|freidora de aire|salmon airfryer|cafetera espresso krups|recetas rapidas para cenar|cafetera espresso con molinillo|postres faciles sin horno|prep my meal|asar castañas en airfryer,[]
comida_cocina,MX,cafetera espresso koblenz|ninja airfryer|postres faciles de hacer|proteina c reactiva|recetas rapidas y faciles|proteina c reactiva alta|pollo en airfryer|air fryer|cafetera espresso profesional|delonghi|best meal prep containers|recetas airfryer|nespresso|recetas de cocina saludable|meal prep containers|harina alta proteina|cafetera espresso gourmia|cafetera espresso smeg|postres faciles para vender|postres faciles y rapidos|airfryer gourmia|meal prep recipes|leguminosas de alta proteina|salmon en airfryer|airfryer tefal|receta de cocina saludable|cafetera espresso hamilton beach|postres faciles sin horno|creatinina|pescado en airfryer,,cafetera espresso koblenz|ninja airfryer|postres faciles de hacer|proteina c reactiva|recetas rapidas y faciles|proteina c reactiva alta|pollo en airfryer|air fryer|cafetera espresso profesional|delonghi|best meal prep containers|recetas airfryer|nespresso|recetas de cocina saludable|meal prep containers|harina alta proteina|cafetera espresso gourmia|cafetera espresso smeg|postres faciles para vender|postres faciles y rapidos|airfryer gourmia|meal prep recipes|leguminosas de alta proteina|salmon en airfryer|airfryer tefal|receta de cocina saludable|cafetera espresso hamilton beach|postres faciles sin horno|creatinina|pescado en airfryer,[]
comida_cocina,US,batch cooking recipes|postres faciles de hacer|meal prep chicken|protein meal prep|meal prep recipes|healthy meal prep|easy meal prep|how to meal prep|meal prep high protein|meal prep meals|meal prep containers|como hacer postres faciles|batch cooking meal prep|postres faciles y rapidos,,batch cooking recipes|postres faciles de hacer|meal prep chicken|protein meal prep|meal prep recipes|healthy meal prep|easy meal prep|how to meal prep|meal prep high protein|meal prep meals|meal prep containers|como hacer postres faciles|batch cooking meal prep|postres faciles y rapidos,[]
creacion_contenido,ES,thumbnails en español,,thumbnails en español,[]
creacion_contenido,MX,carpeta thumbnails,,carpeta thumbnails,[]
creacion_contenido,US,libretro thumbnails|dents in thumbnails|how to make minecraft thumbnails|how to make thumbnails|what are thumbnails|funny thumbnails|crazy thumbnails,,libretro thumbnails|dents in thumbnails|how to make minecraft thumbnails|how to make thumbnails|what are thumbnails|funny thumbnails|crazy thumbnails,[]
cripto_web3,ES,blockchain|defi technologies|garuda defi|coinmarketcap|defi technologies aktie|what does tps stand for in blockchain performance?|hacer staking|beefy|staking criptomonedas|defi crypto|staking ethereum|etherscan|staking crypto|bitcoin|blockchain bitcoin|binance nft|aave staking|argo blockchain|14 oktober staking|chainers nft|nft significado|inteligencia artificial|jana defi|solana|staking bitcoin|european blockchain convention|staking solana|nfc|nft marketplace|tecnología blockchain,,blockchain|defi technologies|garuda defi|coinmarketcap|defi technologies aktie|what does tps stand for in blockchain performance?|hacer staking|beefy|staking criptomonedas|defi crypto|staking ethereum|etherscan|staking crypto|bitcoin|blockchain bitcoin|binance nft|aave staking|argo blockchain|14 oktober staking|chainers nft|nft significado|inteligencia artificial|jana defi|solana|staking bitcoin|european blockchain convention|staking solana|nfc|nft marketplace|tecnología blockchain,[]
cripto_web3,MX,airdrops iphone|defi etf|etf|riot blockchain stock|metaverso|nft comprar|defi llama|nfts|habbo nft|metamask|riot blockchain|sistema nft|tecnología blockchain|bitcoin|hidroponia nft|blockchain bitcoin|nft monkey|jana defi|opensea|qué es blockchain|blockchain technology|nft meaning,,airdrops iphone|defi etf|etf|riot blockchain stock|metaverso|nft comprar|defi llama|nfts|habbo nft|metamask|riot blockchain|sistema nft|tecnología blockchain|bitcoin|hidroponia nft|blockchain bitcoin|nft monkey|jana defi|opensea|qué es blockchain|blockchain technology|nft meaning,[]
cripto_web3,US,airdrops crypto|defi definition|definition|smart contracts blockchain|staking crypto|what is blockchain|what is layer 2|what is nft|defi stock|what is defi|what are smart contracts|objective airdrops|crypto|what is staking|nft meaning|co je nft|defi crypto|blockchain technology|ligature|objective airdrops performed|asics nft|defi technologies|coinbase staking|nft art|sol staking calculator|what is a blockchain|typeface|what is the blockchain|smart contracts in blockchain|gpu meaning,,airdrops crypto|defi definition|definition|smart contracts blockchain|staking crypto|what is blockchain|what is layer 2|what is nft|defi stock|what is defi|what are smart contracts|objective airdrops|crypto|what is staking|nft meaning|co je nft|defi crypto|blockchain technology|ligature|objective airdrops performed|asics nft|defi technologies|coinbase staking|nft art|sol staking calculator|what is a blockchain|typeface|what is the blockchain|smart contracts in blockchain|gpu meaning,[]
crypto_web3,GL,,criptomonedas|bitcoin|bitcoin hoy|trading bitcoin|análisis técnico|precio bitcoin|graficos de bitcoin|análisis de bitcoin hoy|btc|solana|crypto|trading|análisis de bitcoin|bitcoin trading|bitcoin noticias|analisis bitcoin hoy en vivo|análisis técnico bitcoin hoy|btc analisis|analisis precio bitcoin hoy|analisis de bitcoin hoy|cryptomonedas|análisis técnico bitcoin|análisis fundamental bitcoin|análisis bitcoin|analisis bitcoin|cryptos|altcoins|defi|trading criptomonedas|inversiones,criptomonedas|bitcoin|bitcoin hoy|trading bitcoin|análisis técnico|precio bitcoin|graficos de bitcoin|análisis de bitcoin hoy|btc|solana|crypto|trading|análisis de bitcoin|bitcoin trading|bitcoin noticias|analisis bitcoin hoy en vivo|análisis técnico bitcoin hoy|btc analisis|analisis precio bitcoin hoy|analisis de bitcoin hoy|cryptomonedas|análisis técnico bitcoin|análisis fundamental bitcoin|análisis bitcoin|analisis bitcoin|cryptos|altcoins|defi|trading criptomonedas|inversiones,"[{'videoId': 'cxjd87-QGwA', 'title': 'From Scratch to 300 SOL  Solana Rug Pull Example', 'views': 13946}, {'videoId': 'F1te92NFdtQ', 'title': 'Que hará Bitcoin hoy 3 de septiembre y las Bolsas | Análisis Esteban Pérez', 'views': 14595}, {'videoId': 'wiVTQORyLus', 'title': 'Qué hará Bitcoin hoy 4 de septiembre y las Bolsas | Análisis técnico Esteban Pérez', 'views': 14406}, {'videoId': 'wXoDhHyeTNA', 'title': 'QUÉ HARÁ BITCOIN HOY 3/7/25 08:00 | ANÁLISIS TÉCNICO Y FUNDAMENTAL DE SOPORTES Y RESISTENCIAS', 'views': 11605}, {'videoId': '76d2rqKlfAs', 'title': 'Qué HARÁ BITCOIN HOY 02/10/25 | Análisis técnico y Fundamental Esteban Pérez', 'views': 13423}, {'videoId': 'CG58jJgObpk', 'title': 'Qué HARÁ BITCOIN HOY 03/10/25 | Análisis técnico y Fundamental Esteban Pérez', 'views': 15456}, {'videoId': '6IGy3cbkPXQ', 'title': '🟢MEGA ANALISIS de los CICLOS del PRECIO de BITCOIN 2025', 'views': 24787}, {'videoId': '_Tie92XF9bc', 'title': 'Qué Es DEFI 2.0 - Lo Que NADIE te DICE (Bien Explicado) (En Español) ✅', 'views': 18704}, {'videoId': '7_k-VoESqwc', 'title': 'Qué hará Bitcoin hoy 09/09/25 y las Bolsas | Análisis técnico Esteban Pérez', 'views': 17266}, {'videoId': 'GFm2Z2rXaUI', 'title': 'PUENTES EN BLOCKCHAIN! DEFI EFICIENTE!!! EXPLICACION BASICA!!', 'views': 15252}]"
data_science,ES,yolo|nlp neuro linguistic programming|machine learning|machine learning|nlp ai|pandas python|python pandas|scikit learn pca|machine learning ia|deep learning|deep learning|machine learning google|feature engineering for machine learning|yolo|journal of machine learning research|machine learning resume|cuantos pandas quedan en el mundo|deep learning specialization coursera|deep learning ai|dataframe pandas|pandas resample|scikit learn pca|what is nlp|dataframe pandas|deep learning ai|pandas duplicated|sindrome de pandas|donde viven los pandas rojos|pandas to_datetime|el deep learning,,yolo|nlp neuro linguistic programming|machine learning|nlp ai|pandas python|python pandas|scikit learn pca|machine learning ia|deep learning|machine learning google|feature engineering for machine learning|journal of machine learning research|machine learning resume|cuantos pandas quedan en el mundo|deep learning specialization coursera|deep learning ai|dataframe pandas|pandas resample|what is nlp|pandas duplicated|sindrome de pandas|donde viven los pandas rojos|pandas to_datetime|el deep learning,[]
data_science,MX,los pandas|machine learning|modelos de regresion lineal|modelos de regresion lineal|scikit learn python|pandas python|random forest scikit learn|svm scikit learn|machine learning ia|deep learning|machine learning python|deep learning|python machine learning|deep learning ai|machine learning pdf|pandas dataframe|google machine learning|import pandas as pd|designing machine learning systems|pandas read_csv|los pandas son peligrosos|como se reproducen los pandas|sort_values pandas|cuantos osos pandas quedan en el mundo|información sobre los pandas|grokking deep learning|que comen los pandas rojos|informacion sobre los pandas|overfitting machine learning|mathematics for machine learning,,los pandas|machine learning|modelos de regresion lineal|scikit learn python|pandas python|random forest scikit learn|svm scikit learn|machine learning ia|deep learning|machine learning python|python machine learning|deep learning ai|machine learning pdf|pandas dataframe|google machine learning|import pandas as pd|designing machine learning systems|pandas read_csv|los pandas son peligrosos|como se reproducen los pandas|sort_values pandas|cuantos osos pandas quedan en el mundo|información sobre los pandas|grokking deep learning|que comen los pandas rojos|informacion sobre los pandas|overfitting machine learning|mathematics for machine learning,[]
data_science,US,deep learning ai|deep learning ai|machine learning ai|nlp ai|python pandas|python pandas|what is nlp|scikit learn python|what is deep learning|pandas dataframe|what is nlp|ai nlp|machine learning|pandas dataframe|what is deep learning|machine learning|deep learning model|nlp meaning|ai and machine learning|nlp in ai|david snyder nlp|deep learning models|nlp meaning|red pandas|what is scikit learn|machine learning and deep learning|what is pandas|what is pandas|rbm deep learning|nlp sekte,,deep learning ai|machine learning ai|nlp ai|python pandas|what is nlp|scikit learn python|what is deep learning|pandas dataframe|ai nlp|machine learning|deep learning model|nlp meaning|ai and machine learning|nlp in ai|david snyder nlp|deep learning models|red pandas|what is scikit learn|machine learning and deep learning|what is pandas|rbm deep learning|nlp sekte,[]
